run_id,target,method,n_samples,mse_norm,mae_norm,mse_orig,mae_orig,train_time,test_time,gpu_samples,gpu_mem_used_mb_mean,gpu_mem_used_mb_var,torch_peak_alloc_mb,torch_peak_reserved_mb,ram_samples,ram_used_mb_mean,ram_used_mb_var,timestamp
8,f_osc,uniform,100,0.34826794266700745,0.38657528162002563,2256983570776064.0,14529600.0,292.2055809497833,0.6866395473480225,585,3871.9726495726495,0.21805537305772305,223.869140625,294.0,585,7159.389196047008,0.01386859267950058,2026-06-01 02:08:07
8,f_osc,kdtree,100,0.2172744870185852,0.3055973947048187,1842588885712896.0,12694849.0,59.08830714225769,2.535325050354004,119,3866.0,0.0,216.5849609375,288.0,119,7193.046612394958,4.842061460018158,2026-06-01 02:09:08
8,f_osc,uniform,500,0.042998913675546646,0.1165212020277977,768219258290176.0,6391931.0,273.9611494541168,0.7337615489959717,549,3909.846994535519,6.402818836271763,265.97509765625,332.0,549,7246.660348360656,0.023054160177707672,2026-06-01 02:18:46
8,f_osc,kdtree,500,0.05565522611141205,0.1399659365415573,696118098788352.0,6448998.5,155.48409032821655,2.7964351177215576,312,3871.9871794871797,0.02547665871679783,229.646484375,294.0,312,7354.842134915865,0.5455989167094231,2026-06-01 02:21:25
8,f_osc,uniform,1000,0.007718878332525492,0.044382818043231964,273734690668544.0,2636026.0,280.16955947875977,0.7465500831604004,561,3923.807486631016,10.358660526573658,329.12353515625,346.0,561,7586.659571356952,0.06193820387125015,2026-06-01 02:36:00
8,f_osc,kdtree,1000,0.0798296332359314,0.16864562034606934,1203345817600000.0,8670162.0,293.3166666030884,2.316865921020508,587,3901.959114139693,0.4889586716890335,247.3037109375,324.0,587,7695.066532687393,8.950627774000168,2026-06-01 02:40:55
9,f_osc,uniform,100,0.31270867586135864,0.3592664301395416,2265390163951616.0,14316243.0,289.8944036960602,0.4492027759552002,581,3905.958691910499,0.4939907155930996,249.54248046875,328.0,581,7626.854648504734,0.00014860183000564575,2026-06-01 02:46:45
9,f_osc,kdtree,100,0.1909065991640091,0.28387802839279175,1800120114872320.0,11588982.0,56.80194568634033,2.6342408657073975,115,3900.0,0.0,241.3671875,322.0,115,7727.091949728261,1.6202990412712097,2026-06-01 02:47:45
9,f_osc,uniform,500,0.04016038402915001,0.11311400681734085,862321119330304.0,6409982.0,275.4945397377014,0.7633497714996338,552,3941.8478260869565,6.368147447705269,287.0654296875,364.0,552,7793.866621376812,0.015079446136951447,2026-06-01 02:57:20
9,f_osc,kdtree,500,0.0471264086663723,0.12756378948688507,879543401316352.0,6664032.0,150.47474336624146,2.3040313720703125,302,3905.973509933775,0.10525854118168354,253.46728515625,328.0,302,7895.890094681291,18.046090818941593,2026-06-01 02:59:53
9,f_osc,uniform,1000,0.011019754223525524,0.04713211581110954,399885748666368.0,3436617.5,294.6699466705322,0.7327990531921387,590,3937.8779661016947,4.378328068181872,352.6826171875,360.0,590,8112.242670815678,0.12105511128902435,2026-06-01 03:14:54
9,f_osc,kdtree,1000,0.09817295521497726,0.1749582439661026,1364860612902912.0,9081992.0,288.9160487651825,2.6035549640655518,579,3915.951640759931,0.6746907457709312,271.169921875,338.0,579,8215.571830472798,3.346201777458191,2026-06-01 03:19:46
10,f_osc,uniform,100,0.3092665672302246,0.368012011051178,2385324978208768.0,14666173.0,292.4128897190094,0.7704765796661377,586,3915.972696245734,0.2176845371723175,272.00927734375,338.0,586,8225.938806527303,2.5144441574811935,2026-06-01 03:25:38
10,f_osc,kdtree,100,0.1428128331899643,0.243259459733963,1456829284483072.0,10582351.0,61.9811806678772,2.3799033164978027,125,3912.0,0.0,265.07177734375,334.0,125,8268.52240625,3.974182650446892,2026-06-01 03:26:43
10,f_osc,uniform,500,0.03770262375473976,0.10890723764896393,1059292413165568.0,6767027.5,292.71598625183105,0.8641958236694336,586,3955.849829351536,6.584957309067249,315.38232421875,378.0,586,8327.07644517918,0.10052496194839478,2026-06-01 03:36:27
10,f_osc,kdtree,500,0.04402440786361694,0.12578053772449493,818539833327616.0,6756210.5,171.41073298454285,2.3645553588867188,344,3917.9883720930234,0.02312060445547104,277.39013671875,340.0,344,8430.106695130815,5.60835300385952,2026-06-01 03:39:21
10,f_osc,uniform,1000,0.007696585729718208,0.04313865676522255,218140717875200.0,2585222.75,298.1810474395752,0.7769134044647217,597,3971.812395309883,10.4706671256572,372.57275390625,394.0,597,8662.221426141123,0.8066642433404922,2026-06-01 03:54:19
10,f_osc,kdtree,1000,0.0799657553434372,0.16685207188129425,1305031450034176.0,8944661.0,280.18017411231995,2.5055673122406006,561,3927.9714795008913,0.22735057398676872,295.0146484375,350.0,561,8767.09475963681,3.5161887109279633,2026-06-01 03:59:02
11,f_osc,uniform,100,0.26346367597579956,0.3548256456851959,1873152544079872.0,13730884.0,282.3972589969635,0.7564024925231934,566,3927.9787985865723,0.12675898149609566,296.66162109375,350.0,566,8770.599436837456,0.0099581778049469,2026-06-01 04:04:44
11,f_osc,kdtree,100,0.16811665892601013,0.2740406394004822,1434559207964672.0,10581266.0,51.88496279716492,2.3810360431671143,105,3926.0,0.0,288.96337890625,348.0,105,8812.587165178571,8.045816004276276,2026-06-01 04:05:39
11,f_osc,uniform,500,0.038793839514255524,0.1095968708395958,952310347857920.0,6293643.0,285.69954681396484,0.8816413879394531,572,3965.86013986014,5.5748447347432375,338.16845703125,388.0,572,8875.880866204108,0.4897442013025284,2026-06-01 04:15:22
