Model;Function;Dim;N_samples;Ref_Samples;MSE_mean;MSE_std;MAE_mean;MAE_std;TIME_mean;TIME_std
ANN;Zakharov;3;64;2;771652897.6;459416789.8182416;8963.328491210938;2655.9013290060793;0.776670777797699;0.06149236482210194
ANN;Zakharov;3;512;3;47204463.825;38570424.94466237;1998.432275390625;535.5664746894117;0.8424782156944275;0.09243503206862141
ANN;Zakharov;3;4096;4;11881192.125;3902054.3828496635;1271.9442047119142;243.25534081420983;1.1192096710205077;0.021077208146580716
ANN;Zakharov;3;32768;5;9917205.6;4465520.782054491;1333.5045043945313;792.9763275638259;1.107003915309906;0.1533971657965101
PF;Zakharov;3;8;1;18136589030.848335;32934807300.080475;62637.79623459747;48044.421919567896;0.0022552013397216797;0.0006358388746953494
PF;Zakharov;3;64;2;1406349506.3693624;435765581.72501063;20635.679741947573;2869.4365735651168;0.0017543554306030274;0.00011966639380764307
PF;Zakharov;3;512;3;841352288.0974467;58992709.369516216;18511.83413437196;912.3997169169896;0.001900625228881836;8.631518498571632e-05
PF;Zakharov;3;4096;4;791012634.064371;9310752.744239109;18383.621016007448;299.68097998967346;0.0032236218452453614;0.0002115438392443865
PF;Zakharov;3;32768;5;786713400.306393;3345480.931175331;18344.035877095765;103.93423689564857;0.009904396533966065;0.0023360575726031154
SESM;Zakharov;3;8;1;6292168499.2;1693434231.2763631;39140.42666015625;10121.527834695176;104.77971805334091;75.65813293538285
SESM;Zakharov;3;64;2;1205863796.8;465506070.9513252;11346.925439453125;1661.5165638921458;114.38797488212586;42.960625550477495
SESM;Zakharov;3;512;3;48284687.375;33921689.62070341;881.8831024169922;249.4532891779595;102.46046832799911;25.964243170679367
SESM;Zakharov;3;4096;4;3982354.5625;2174370.157904034;254.11124572753906;30.593500030891473;110.5042813539505;25.319624844880686
SESM;Zakharov;3;32768;5;1435391.740625;294374.4720462173;197.4566291809082;8.022835572133381;250.7601765036583;5.544088184521916
SVR;Zakharov;3;8;1;6406996345.301798;383104349.4427473;36153.110018495536;2886.6229270760136;0.0011301875114440919;0.0004813157656643037
SVR;Zakharov;3;64;2;6217361924.470393;169638051.34854943;34131.75427393562;123.11133127436118;0.0011847376823425292;0.00015507125019534478
SVR;Zakharov;3;512;3;5181743865.874399;119366054.1256567;29581.11015363289;222.32601946386103;0.008700132369995117;0.00044053633840818347
SVR;Zakharov;3;4096;4;3087848293.121349;56668258.77575091;20226.629523800082;139.84406090372096;0.3286780834197998;0.01277219427849892
SVR;Zakharov;3;32768;5;968422368.0861403;17573982.943119135;10629.042288616201;64.0046941695763;10.67386453151703;0.11418791128480797
ANN;Zhou;1;2;1;0.8366208583116531;0.30330850555549327;0.7279554963111877;0.10937619146123947;0.6095150470733642;0.005081445395825881
ANN;Zhou;1;4;2;0.7200736410915851;0.4182700672062894;0.607842567563057;0.17885904922810492;0.6661902785301208;0.04014542056104588
ANN;Zhou;1;8;3;0.3536196302855387;0.34244485385069395;0.3326856914907694;0.16476463091308;0.6890090346336365;0.0035070043702310886
ANN;Zhou;1;16;4;0.027850371041859036;0.055269325416879025;0.06728628380224108;0.06235833588290718;0.6995555877685546;0.035411517941028016
ANN;Zhou;1;32;5;0.0010269625890941825;0.001709771519371079;0.016002352559007706;0.010006399378243635;0.7350259065628052;0.06960721612313867
PF;Zhou;1;2;1;2.368465031216228;2.9961054816274157;1.0536101231985469;0.569950714942444;0.0015563011169433595;0.0002404071300749138
PF;Zhou;1;4;2;221.95077496793465;921.1309201311615;3.4017498531583876;8.529505439429558;0.0014189600944519043;0.00013311602291980707
PF;Zhou;1;8;3;3.8954243616392588;7.830107975679294;0.8013220504500346;0.7500392110302896;0.0013786673545837403;8.612441675901755e-05
PF;Zhou;1;16;4;0.3818719370022458;0.6249613536889289;0.40407404309085226;0.17851116689838992;0.0013773918151855468;8.633885684287532e-05
PF;Zhou;1;32;5;0.13571209293677855;0.0069549220077608645;0.3121710879425336;0.0062977034915446635;0.0013596177101135253;8.407087643379774e-05
SESM;Zhou;1;2;1;0.541411280632019;0.16303592869917083;0.5848117902874946;0.08266094823856118;39.23800648450852;2.417118551295154
SESM;Zhou;1;4;2;0.9634799778461456;1.0107085093336452;0.6311920702457428;0.32976036751301524;38.62388005256653;2.877208644973434
SESM;Zhou;1;8;3;0.17683427325682716;0.22274664913908607;0.21611672099679707;0.12896640231358225;37.037331914901735;1.9933663299187305
SESM;Zhou;1;16;4;0.014028982905983867;0.01933933906276962;0.051239272300153973;0.03601434320927201;36.205617451667784;1.7139252836584935
SESM;Zhou;1;32;5;0.0009542918906163322;0.001141144406397683;0.01592017834773287;0.011019619603222288;40.876841366291046;2.0839070375188045
SVR;Zhou;1;2;1;0.7434401437285523;0.28981500316016895;0.7170562426682986;0.10512873266108493;0.0010298490524291992;0.0003212193218827631
SVR;Zhou;1;4;2;0.7487779430946566;0.21805162269407224;0.7197779728498735;0.07726843632134767;0.0007988691329956054;0.00018415053629772463
SVR;Zhou;1;8;3;0.6835703070099944;0.18885175074701033;0.6955719950143434;0.06916250659366774;0.000721275806427002;9.352164026365117e-05
SVR;Zhou;1;16;4;0.6444354566764465;0.16877333259846566;0.6768004195993035;0.0621853370676529;0.000813603401184082;7.118775141670038e-05
SVR;Zhou;1;32;5;0.5287698146909477;0.06399548205055743;0.6314329709940079;0.02610129973529541;0.0008189558982849121;5.8974341602113887e-05
ANN;Zhou;2;4;1;7.332428157329559;5.862932724665868;1.7987010389566422;0.8671696819226269;3.9594322681427;0.4544092679038421
ANN;Zhou;2;16;2;5.014261692762375;3.3434371104636105;1.317074903845787;0.4504750062846365;3.992978513240814;0.6938345889332774
ANN;Zhou;2;64;3;1.0255955822765828;0.8205325764316698;0.4651040554046631;0.15611678883691832;4.433235692977905;0.5768083938355104
ANN;Zhou;2;256;4;0.024447828810662032;0.011328341772727516;0.09155179895460605;0.017891733623832135;9.68552041053772;0.4797534353309093
ANN;Zhou;2;1024;5;0.007036881800740957;0.002646188917512764;0.05932197365909815;0.009948129373472796;12.559199869632721;0.4520208310924469
PF;Zhou;2;4;1;220.275060868248;526.4130152526454;5.860236127904669;7.22180302784424;0.0018063902854919434;0.0002590402608261279
PF;Zhou;2;16;2;29.192559043647616;35.13875652695897;2.746080839047345;1.5257363168467573;0.0020470738410949705;0.0007275941833441787
PF;Zhou;2;64;3;2.3503745978977815;0.17806835455954456;1.126376811257106;0.0978807033460931;0.002046525478363037;0.000407061116851014
PF;Zhou;2;256;4;2.1337056704810906;0.03367705996370622;1.0449701856243254;0.04624132343889018;0.0024003982543945312;0.0003853845510469689
PF;Zhou;2;1024;5;2.0935880367395265;0.006672803604906918;1.0292129863779125;0.02046647746458252;0.0023066043853759766;0.00017956960901951033
SESM;Zhou;2;4;1;5.383555257320404;4.3576237681524255;1.4956708788871764;0.6850753425946001;41.13186635971069;1.7201401218277117
SESM;Zhou;2;16;2;3.976978325843811;2.8287388545996572;1.2210144728422165;0.42070910142121243;42.23897165060043;1.8761237175364216
SESM;Zhou;2;64;3;0.049614325445145366;0.03316258818475415;0.1178651787340641;0.029468421655883814;42.400390481948854;1.7275258613249393
SESM;Zhou;2;256;4;0.00018657069849723485;6.056385084281926e-05;0.00858925359789282;0.0013786175949124589;51.255807769298556;13.546941321633655
SESM;Zhou;2;1024;5;5.7386692242289426e-05;3.202251765608876e-05;0.005487389443442225;0.001531582424560607;42.17938709259033;1.8227229452543532
SVR;Zhou;2;4;1;3.4863865903475606;0.587467000555385;1.1132082483853645;0.31488313043359456;0.0009330272674560547;0.00018620097831452835
SVR;Zhou;2;16;2;3.310161808819358;0.19796226900859798;0.9861290474902702;0.09621227488765403;0.0009169459342956543;7.592635991460777e-05
SVR;Zhou;2;64;3;3.2402325818981743;0.11618491315621793;0.9200429718550401;0.0063737013056015274;0.0010364651679992676;0.0001201089024743569
SVR;Zhou;2;256;4;2.9629016129529306;0.07269934521153135;0.8553565386460337;0.004388765801784293;0.00315399169921875;0.00027214276779650423
SVR;Zhou;2;1024;5;2.473422078282968;0.056268637152594586;0.75860147502379;0.004232928859487382;0.028761661052703856;0.0006200691485479488
ANN;Zhou;3;8;1;26.500190830230714;38.69980092542898;2.768495374917984;2.243960822022053;1.3141546487808227;0.4331395885008679
ANN;Zhou;3;64;2;11.442440533638;3.8545165736488163;1.7020844340324401;0.3488458280873388;1.1676122426986695;0.038908014842024004
ANN;Zhou;3;512;3;1.7357817351818086;0.45782339937466976;0.6820200890302658;0.06568732650065527;10.909764814376832;0.31336227040320835
ANN;Zhou;3;4096;4;0.3601657122373581;0.0759930757695628;0.39776102602481844;0.030243778684538508;1.8886618971824647;0.2965219082805182
ANN;Zhou;3;32768;5;0.2453834183514118;0.04513921587886273;0.34825912714004514;0.02739744011426681;3.346341240406036;0.5367550387159764
PF;Zhou;3;8;1;209.12596412921636;446.57431230138155;6.2875491905987095;5.831403314457702;0.0022960901260375977;0.0008219260108377179
PF;Zhou;3;64;2;11.430649383940438;3.622515571401077;1.9974775745248874;0.4690380731299642;0.0017813920974731445;7.024165398374897e-05
PF;Zhou;3;512;3;8.493748650432316;0.1655282609932482;1.5560534399221542;0.1472950142424423;0.002804553508758545;0.0007992909001393861
PF;Zhou;3;4096;4;8.36166533351741;0.009059377640719075;1.5107286149212524;0.04234587698031737;0.003384530544281006;0.0005951491748836317
PF;Zhou;3;32768;5;8.352240092588065;0.0008401766283915683;1.5026068869240894;0.014377274231275843;0.07507178783416749;0.2556011538869042
SESM;Zhou;3;8;1;18.585128688812254;19.12486358998543;2.148216927051544;1.4847082738129833;43.28117294311524;0.8947113388653237
SESM;Zhou;3;64;2;8.164387428760529;2.9580037622302995;1.58152676820755;0.33137812708804715;43.9966947555542;1.9974943462977544
SESM;Zhou;3;512;3;0.09013889003545046;0.04632757487689991;0.12211946472525596;0.01957589898626361;43.83606445789337;0.7500510998765239
SESM;Zhou;3;4096;4;0.0006189508421812207;0.0002829184572422999;0.013807684881612659;0.0007434626757324156;58.68897298574448;0.5576107917068945
SESM;Zhou;3;32768;5;0.0003007048275321722;2.5940465164346328e-05;0.011432413663715123;0.0003647007012854737;463.7240850090981;3.796506381603732
SVR;Zhou;3;8;1;10.189631770665235;0.2703242013610221;1.0612778153019247;0.15868694729371932;0.0009464383125305176;0.00015027652358558287
SVR;Zhou;3;64;2;9.970265170660465;0.13668789415901264;1.0711090219550612;0.05028824871082771;0.0009682774543762207;5.635334056347908e-05
SVR;Zhou;3;512;3;9.626790284521814;0.11656428806551085;1.0142595157001868;0.022446442263423756;0.005798804759979248;0.00027704191161679237
SVR;Zhou;3;4096;4;8.778596991122098;0.066217814562162;0.9232642879560669;0.003410406200233763;0.24436802864074708;0.0077299952053209
SVR;Zhou;3;32768;5;7.635294235350128;0.037569326147570234;0.849977227794429;0.0009111997271004354;19.439628493785857;0.3176974480568898
