Model,Function,Dim,Run,N_samples,MSE,MAE,TIME
PF,Styblinski_Tang,1,17,32,745.0034619403012,23.951784699670352,0.0013163089752197266
PF,Styblinski_Tang,1,18,32,5691.351621578688,36.25156340257483,0.0013892650604248047
PF,Styblinski_Tang,1,19,32,861.1736724942227,21.95934683304764,0.0014011859893798828
PF,Styblinski_Tang,1,20,32,720.1993717101982,22.76688193301684,0.0013370513916015625
SESM,Styblinski_Tang,1,1,2,2112.439208984375,31.195436477661133,34.97443103790283
SESM,Styblinski_Tang,1,2,2,1733.4306640625,27.479022979736328,32.929709672927856
SESM,Styblinski_Tang,1,3,2,1197.10400390625,22.537492752075195,33.19689106941223
SESM,Styblinski_Tang,1,4,2,48670.984375,188.8565216064453,33.31198334693909
SESM,Styblinski_Tang,1,5,2,1293.6109619140625,25.010164260864258,32.250253677368164
SESM,Styblinski_Tang,1,6,2,1628.880126953125,25.760526657104492,32.18581819534302
SESM,Styblinski_Tang,1,7,2,1383.1318359375,25.582721710205078,32.83429408073425
SESM,Styblinski_Tang,1,8,2,1691.4515380859375,28.232877731323242,32.50463008880615
SESM,Styblinski_Tang,1,9,2,1629.8018798828125,27.141830444335938,32.31471514701843
SESM,Styblinski_Tang,1,10,2,1339.3175048828125,23.345293045043945,32.26746726036072
SESM,Styblinski_Tang,1,11,2,1237.3096923828125,26.359458923339844,32.20672965049744
SESM,Styblinski_Tang,1,12,2,1571.1583251953125,27.298887252807617,31.97366166114807
SESM,Styblinski_Tang,1,13,2,2129.690185546875,32.52375030517578,32.11646008491516
SESM,Styblinski_Tang,1,14,2,1268.6300048828125,24.899486541748047,32.29913258552551
SESM,Styblinski_Tang,1,15,2,4188.70947265625,47.49163055419922,32.18252444267273
SESM,Styblinski_Tang,1,16,2,1254.19775390625,24.900835037231445,32.09932041168213
SESM,Styblinski_Tang,1,17,2,1429.41259765625,23.990795135498047,31.99324941635132
SESM,Styblinski_Tang,1,18,2,1200.8516845703125,24.448780059814453,32.060022830963135
SESM,Styblinski_Tang,1,19,2,1227.696044921875,25.325721740722656,31.977158069610596
SESM,Styblinski_Tang,1,20,2,2849.7998046875,38.81182098388672,31.99310541152954
SESM,Styblinski_Tang,1,1,4,2084.03564453125,26.98102569580078,31.98129391670227
SESM,Styblinski_Tang,1,2,4,2507.591064453125,26.747831344604492,32.02228045463562
SESM,Styblinski_Tang,1,3,4,1089.1259765625,15.988619804382324,31.970600605010986
SESM,Styblinski_Tang,1,4,4,7967.32373046875,63.90254211425781,31.98912239074707
SESM,Styblinski_Tang,1,5,4,2383.591064453125,37.97393035888672,32.02918100357056
SESM,Styblinski_Tang,1,6,4,1664.809326171875,31.40644073486328,32.01515078544617
SESM,Styblinski_Tang,1,7,4,1292.3421630859375,28.310380935668945,32.028884172439575
SESM,Styblinski_Tang,1,8,4,2912.464111328125,29.140810012817383,32.03744387626648
SESM,Styblinski_Tang,1,9,4,620.7359619140625,11.329434394836426,32.307276248931885
SESM,Styblinski_Tang,1,10,4,2948.471923828125,29.247587203979492,32.29357600212097
SESM,Styblinski_Tang,1,11,4,2671.53759765625,27.094961166381836,32.40513205528259
SESM,Styblinski_Tang,1,12,4,3105.575927734375,41.82347106933594,32.44836926460266
SESM,Styblinski_Tang,1,13,4,2500.187744140625,25.572620391845703,32.45043134689331
SESM,Styblinski_Tang,1,14,4,1394.8798828125,22.77120590209961,32.42268466949463
SESM,Styblinski_Tang,1,15,4,6269.86083984375,57.236839294433594,32.488404989242554
SESM,Styblinski_Tang,1,16,4,2547.414306640625,27.8648681640625,32.06394815444946
SESM,Styblinski_Tang,1,17,4,1343.022705078125,26.189390182495117,32.26830983161926
SESM,Styblinski_Tang,1,18,4,1868.603271484375,24.35037612915039,32.25530505180359
SESM,Styblinski_Tang,1,19,4,2107.046875,22.342771530151367,32.286211013793945
SESM,Styblinski_Tang,1,20,4,958.3097534179688,14.836132049560547,32.0877001285553
SESM,Styblinski_Tang,1,1,8,270.14208984375,6.776259899139404,32.219993591308594
SESM,Styblinski_Tang,1,2,8,562.4578857421875,11.480121612548828,32.28781032562256
SESM,Styblinski_Tang,1,3,8,1961.5491943359375,22.31692886352539,32.249998569488525
SESM,Styblinski_Tang,1,4,8,1038.39404296875,11.754914283752441,32.40527153015137
SESM,Styblinski_Tang,1,5,8,566.4999389648438,18.873756408691406,32.41002297401428
SESM,Styblinski_Tang,1,6,8,207.0225067138672,6.358569145202637,32.18208599090576
SESM,Styblinski_Tang,1,7,8,1150.19189453125,15.570966720581055,32.189576148986816
SESM,Styblinski_Tang,1,8,8,2636.799072265625,25.431957244873047,32.236541509628296
SESM,Styblinski_Tang,1,9,8,172.59698486328125,7.313284873962402,32.259236574172974
SESM,Styblinski_Tang,1,10,8,886.01513671875,11.249489784240723,32.175493478775024
SESM,Styblinski_Tang,1,11,8,865.0990600585938,14.147527694702148,32.18147110939026
SESM,Styblinski_Tang,1,12,8,568.177978515625,15.153363227844238,32.0941960811615
SESM,Styblinski_Tang,1,13,8,1632.4710693359375,18.93124008178711,32.20820379257202
SESM,Styblinski_Tang,1,14,8,395.8515625,7.4599738121032715,32.183915853500366
SESM,Styblinski_Tang,1,15,8,523.63134765625,13.911154747009277,32.26339769363403
SESM,Styblinski_Tang,1,16,8,1671.6126708984375,18.919462203979492,32.2389760017395
SESM,Styblinski_Tang,1,17,8,109.03197479248047,7.4935622215271,32.24249339103699
SESM,Styblinski_Tang,1,18,8,1022.590576171875,14.74166488647461,32.24964380264282
SESM,Styblinski_Tang,1,19,8,605.5687255859375,13.056560516357422,32.26689529418945
SESM,Styblinski_Tang,1,20,8,31.29581069946289,4.061963081359863,32.40507125854492
SESM,Styblinski_Tang,1,1,16,257.4255676269531,5.619443893432617,32.29894423484802
SESM,Styblinski_Tang,1,2,16,829.7890625,12.600377082824707,32.359976291656494
SESM,Styblinski_Tang,1,3,16,207.67556762695312,6.413277626037598,32.297396659851074
SESM,Styblinski_Tang,1,4,16,318.231201171875,6.834056854248047,32.31548094749451
SESM,Styblinski_Tang,1,5,16,2.837604284286499,1.0755833387374878,32.28692150115967
SESM,Styblinski_Tang,1,6,16,29.546764373779297,3.3489818572998047,32.04089570045471
SESM,Styblinski_Tang,1,7,16,544.79296875,9.657607078552246,32.08015847206116
SESM,Styblinski_Tang,1,8,16,1193.380615234375,15.90173053741455,32.03356170654297
SESM,Styblinski_Tang,1,9,16,22.429353713989258,3.3116233348846436,32.24904274940491
SESM,Styblinski_Tang,1,10,16,387.7734069824219,6.762935638427734,32.319653272628784
SESM,Styblinski_Tang,1,11,16,665.927978515625,10.506645202636719,32.119521617889404
SESM,Styblinski_Tang,1,12,16,340.7467956542969,6.367127895355225,32.06304717063904
SESM,Styblinski_Tang,1,13,16,1380.2091064453125,16.798503875732422,32.24065923690796
SESM,Styblinski_Tang,1,14,16,6.765477180480957,2.0564019680023193,32.06601071357727
SESM,Styblinski_Tang,1,15,16,62.70619201660156,3.4076950550079346,32.128817319869995
SESM,Styblinski_Tang,1,16,16,727.800048828125,10.224946975708008,32.108097314834595
SESM,Styblinski_Tang,1,17,16,3.0813522338867188,1.144382357597351,32.154242277145386
SESM,Styblinski_Tang,1,18,16,214.66204833984375,6.784955024719238,32.1314971446991
SESM,Styblinski_Tang,1,19,16,35.982330322265625,2.988527297973633,32.165348052978516
SESM,Styblinski_Tang,1,20,16,16.04612159729004,2.357556104660034,32.13108515739441
SESM,Styblinski_Tang,1,1,32,30.906221389770508,2.4399402141571045,32.17975950241089
SESM,Styblinski_Tang,1,2,32,2.9205737113952637,0.8908405900001526,32.20497536659241
SESM,Styblinski_Tang,1,3,32,2.716905117034912,1.0485646724700928,32.21499013900757
SESM,Styblinski_Tang,1,4,32,57.035282135009766,2.5418946743011475,32.217249155044556
SESM,Styblinski_Tang,1,5,32,0.5260078310966492,0.5117694735527039,32.24643921852112
SESM,Styblinski_Tang,1,6,32,11.684460639953613,1.4094547033309937,32.15567708015442
SESM,Styblinski_Tang,1,7,32,25.63995933532715,2.4004786014556885,32.241162061691284
SESM,Styblinski_Tang,1,8,32,121.4142074584961,3.6252663135528564,32.15977334976196
SESM,Styblinski_Tang,1,9,32,66.68291473388672,3.590911865234375,32.03003144264221
SESM,Styblinski_Tang,1,10,32,169.78671264648438,5.272281646728516,31.933072805404663
SESM,Styblinski_Tang,1,11,32,13.102499008178711,2.415182590484619,32.00982046127319
SESM,Styblinski_Tang,1,12,32,77.40615844726562,3.868732213973999,31.966015815734863
SESM,Styblinski_Tang,1,13,32,52.46376419067383,2.78983998298645,32.00565314292908
SESM,Styblinski_Tang,1,14,32,9.600166320800781,2.2007558345794678,31.969576597213745
SESM,Styblinski_Tang,1,15,32,5.524891376495361,1.6781681776046753,32.10464310646057
SESM,Styblinski_Tang,1,16,32,4.532040596008301,0.9221125245094299,32.121280908584595
SESM,Styblinski_Tang,1,17,32,3.0384159088134766,1.118983507156372,32.03464961051941
SESM,Styblinski_Tang,1,18,32,374.930908203125,7.065598964691162,32.16592001914978
SESM,Styblinski_Tang,1,19,32,33.351078033447266,2.4173190593719482,32.19393563270569
SESM,Styblinski_Tang,1,20,32,11.248065948486328,2.2114357948303223,32.213176012039185
SVR,Styblinski_Tang,1,1,2,1421.522624676981,23.132600879437483,0.0027265548706054688
SVR,Styblinski_Tang,1,2,2,2027.4916546429868,29.087146257647813,0.0008480548858642578
SVR,Styblinski_Tang,1,3,2,1373.1981498568277,23.13983079575764,0.0007870197296142578
SVR,Styblinski_Tang,1,4,2,3021.106070361281,51.72940847959047,0.0007555484771728516
SVR,Styblinski_Tang,1,5,2,1304.2115783987983,24.80470460534096,0.0007081031799316406
SVR,Styblinski_Tang,1,6,2,1694.8854848987414,25.072492887786595,0.0007376670837402344
SVR,Styblinski_Tang,1,7,2,1304.0321086740087,24.684025063729,0.0006525516510009766
SVR,Styblinski_Tang,1,8,2,1620.3160270916758,24.35979056464169,0.0006549358367919922
SVR,Styblinski_Tang,1,9,2,1376.8008130790454,23.128722204795157,0.0007171630859375
SVR,Styblinski_Tang,1,10,2,1659.8138358866513,24.745655173122046,0.0006847381591796875
SVR,Styblinski_Tang,1,11,2,1304.0405766058154,24.694945374862264,0.0006670951843261719
